,avenge,Rom 12:19,ed0c,"Backward: Hand: same,equal"
,Avith,Gen 36:35,efea,"OT: man: small,few: old: no,not: new"
,Avvites,2 Kgs 17:31,e496,"bad: no,not: good: people"
,awake,,ec54,"end,finish: sleep,rest,lie_down: person"
,away,,e11e,thing
,Awel_Marduk,2 Kgs 25:27,e7cc,"man: against: backward: forward,to: head: face"
,Azaliah,2 Kgs 22:3,e68a,"man: near,close"
,Azaziah,1 chron 15:21,e763,"man: very: root: land,ground,earth,space"
,Azekah,Josh 10:10,e42a,"door: village: many,much: neighbor: house: near,close"
,Azel,1 Chr 9:43,e5fb,"man: pour: cup,drink"
,Azmaveth_man,1 Chr 9:42,e5fc,"man; end,finish"
,Azmaveth_village,Ezra 2:29,e5c7,"big: death,dead,die: no,not: heart: village: many,much: neighbor: house: near,close"
,Azmon,Num 34:5,e3da,"Very: strong: hand: power,ability,can: big: knife,cut: land,ground,earth,space"
,Azor,Matt 1:14,ea6c,"man: person: helper,attendant: help: straight: people"
,Azotus,Acts 8:40,eb7e,"praise,worship,exalt,dignify: mouth,said,speak,confession: good: tree,plant,wood: village: many,much: neighbor: house: near,close"
,Azriel,1 Chr 5:24,e628,"man: deny: mouth,said,speak,confession: no,not: know,knowledge"
,Azrikam,1 Chr 9:14,e5fd,man: very: stand: up: straight: person
,Azubah,1 Kgs 22:42,e69c,"woman: very: far: no,not: near,close"
,Azzan,Num 34:26,e3e2,"Man: very: sharp: knife,cut"
,Baal,Rom 11:4,ebbf,"have: hand: .: mute: mouth,said,speak,confession: no,not: thing"
,Baal_Gad,Josh 11:17,e44b,"happy,joy: face: land,ground,earth,space"
,Baal_Hanan,Gen 36:38,e169,"Man: very: no,not: knife,cut"
,Baal_man,1 Chr 9:36,e5fe,"man: Baal: have: hand: .: mute: mouth,said,speak,confession: no,not: thing"
,Baal_Meon,Num 32:38,e3c8,"Allow,permission,permit: mouth: king: abide,dwell: house: alive,live,life: good: heart: land,ground,earth,space"
,Baal_Shalishah,2 Kgs 24:42,e6a4,"three: land,ground,earth,space"
,Baal_Zephon,Exod 14:2,e0bd,"King,ruler,lord,master: direction: land,ground,earth,space"
,Baalah,Josh 15:29 Josh 19:3,e4d9,"mute: mouth,said,speak,confession: no,not: thing: village: many,much: neighbor: house: near,close"
,Baanah,2 Sam 4:2,e488,"man: questioned,ask: mouth,said,speak,confession: questionmark: or"
,Baara,1 Chr 8:8,e664,"woman: burn,burnt: kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,Baaseiah,1 Chr 6:40,e665,"man: no,not: divide,division,separate,split: backward: forward"
,Baasha,1 Kgs 15:16,e5cc,"man: kill,destruction,destroy: knife,cut: person: many,much"
,baby,,e0a6,"very: small,few: person"
,Babylon,Gen 11:9 Acts 7:43,ea67,"ignorant,ignorance: know,knowledge: no,not: land,ground,earth,space"
,backward,,e325,
,bad,,e17d,"no,not: good"
,bag,,e26f,soft: box
,Bakbakkar,1 Chr 9:15,e5ff,"man: very: search: hand: eye,see"
,Balaam,2 Pet 2:15,eca1,"Man: prophesy: eye,see: forward,to: donkey: small,few: horse"
,Baladan,2 Kgs 20:12,e6a5,"man: no,not: or"
,Balak,Rev 2:14,ebff,"Man: bad: no,not: good: king,ruler,lord,master"
,Bamoth_land,Num 21:19,e3c0,"Idol: mute: mouth,said,speak,confession: no,not: thing: land,ground,earth,space"
,Bamoth_man,,e2f6,"Man: idol: mute: mouth,said,speak,confession: no,not: thing"
,Bani,1 Chr 9:14,e600,"man: make,create: hand: person: thing"
,bank,,ec55,"house: money,wealth,wealthy: hand"
,banner,,e2b1,
,baptize,,e24a,"Water,wet: person"
,Barabbas,Matt 27:16,e36d,"man: forgive,forgiveness; no,not: kill,destroy,destruction: knife,cut: person"
